epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.05,1.31303,0.96246,1.19622,0.86213,0.85714,0.90639,0.65341,1.22184,1.08009,1.10314,0.0011882,0.0011882,0.0011882
43,1121.34,1.32111,0.98327,1.23075,0.72086,0.97619,0.8881,0.56947,1.29781,1.03267,1.13602,0.0011684,0.0011684,0.0011684
44,1146.1,1.30256,0.96503,1.19646,0.89181,0.83333,0.90092,0.58793,1.24848,0.96577,1.12986,0.0011486,0.0011486,0.0011486
45,1170.82,1.27502,0.94375,1.17088,0.82363,0.88095,0.90576,0.63353,1.1621,0.95034,1.10601,0.0011288,0.0011288,0.0011288
46,1196.02,1.26651,0.93997,1.19157,0.81368,0.83187,0.89892,0.56391,1.2702,0.96776,1.12117,0.001109,0.001109,0.001109
47,1222.64,1.25767,0.93213,1.16927,0.92066,0.82896,0.90129,0.57806,1.30681,0.92193,1.1526,0.0010892,0.0010892,0.0010892
48,1249.18,1.2524,0.93641,1.18284,0.86905,0.92857,0.9422,0.62796,1.31326,0.97945,1.11869,0.0010694,0.0010694,0.0010694
49,1276.01,1.24131,0.94087,1.16861,0.88209,0.95238,0.94184,0.67126,1.17056,0.84427,1.07541,0.0010496,0.0010496,0.0010496
50,1301.08,1.27299,0.87313,1.18653,0.88025,0.87517,0.91633,0.61178,1.1582,0.9785,1.10291,0.0010298,0.0010298,0.0010298
51,1327.21,1.21973,0.89305,1.16436,0.89667,0.85714,0.91659,0.61198,1.17188,0.95792,1.08914,0.00101,0.00101,0.00101
52,1352.4,1.21813,0.8639,1.1748,0.90319,0.85714,0.92912,0.60788,1.29576,0.90621,1.15219,0.0009902,0.0009902,0.0009902
53,1377.01,1.29241,0.88493,1.19936,0.92665,0.90246,0.95707,0.60831,1.26259,0.83622,1.10585,0.0009704,0.0009704,0.0009704
54,1401.73,1.24763,0.88688,1.175,0.93747,0.85714,0.942,0.66595,1.14391,0.77125,1.07223,0.0009506,0.0009506,0.0009506
55,1426.01,1.22242,0.88332,1.16347,0.86755,0.88095,0.93747,0.64786,1.164,0.81973,1.06691,0.0009308,0.0009308,0.0009308
56,1452.92,1.23868,0.84425,1.16505,0.87133,0.85714,0.91476,0.61896,1.16776,0.81322,1.0559,0.000911,0.000911,0.000911
57,1479.61,1.20757,0.84626,1.11201,0.80318,0.85714,0.90204,0.59557,1.20767,0.88749,1.0687,0.0008912,0.0008912,0.0008912
58,1506.28,1.16493,0.81687,1.1397,0.83073,0.90476,0.94292,0.65602,1.14444,0.84188,1.02722,0.0008714,0.0008714,0.0008714
59,1530.75,1.19177,0.85788,1.16896,0.86022,0.90476,0.92072,0.63645,1.14382,0.99068,1.04415,0.0008516,0.0008516,0.0008516
60,1556.9,1.18182,0.81121,1.13574,0.88492,0.91561,0.94455,0.63976,1.17734,0.87872,1.08406,0.0008318,0.0008318,0.0008318
61,1582.98,1.12896,0.80111,1.1012,0.88737,0.93807,0.9412,0.69025,1.0913,0.79074,1.03684,0.000812,0.000812,0.000812
62,1608.46,1.20813,0.84366,1.15378,0.9263,0.89787,0.93436,0.64839,1.09547,0.77886,1.04102,0.0007922,0.0007922,0.0007922
63,1632.63,1.15185,0.76342,1.10824,0.84193,0.88784,0.93061,0.65191,1.12178,0.82497,1.06226,0.0007724,0.0007724,0.0007724
64,1656.92,1.09755,0.73272,1.10573,0.83705,0.92857,0.94322,0.6811,1.09502,0.86266,1.05448,0.0007526,0.0007526,0.0007526
65,1683.5,1.12486,0.78119,1.10641,0.87209,0.88095,0.91507,0.65823,1.1335,0.87352,1.07316,0.0007328,0.0007328,0.0007328
66,1710.12,1.1087,0.76523,1.10491,0.88342,0.92857,0.95241,0.65877,1.17067,0.81739,1.07359,0.000713,0.000713,0.000713
67,1736.5,1.09954,0.74407,1.09577,0.91801,0.85714,0.93926,0.67793,1.12302,0.82263,1.05483,0.0006932,0.0006932,0.0006932
