epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1376.9,0.66532,0.84383,0.56759,1.17509,0.93267,1,0.97889,0.84443,0.93267,1,0.97889,0.87865,0.59402,0.43618,0.51144,1.12925,0.0014258,0.0014258,0.0014258
31,1421.59,0.63947,0.77914,0.55795,1.15531,0.99377,1,0.995,0.81626,0.99377,1,0.995,0.87668,0.71573,0.48419,0.48161,1.21714,0.001406,0.001406,0.001406
32,1467.59,0.66577,0.82104,0.57685,1.15923,0.94324,0.97832,0.97889,0.87412,0.94324,0.97832,0.97889,0.88961,0.58393,0.40824,0.50136,1.14014,0.0013862,0.0013862,0.0013862
33,1513.27,0.61281,0.77515,0.56176,1.11526,0.94179,1,0.99222,0.87211,0.94179,1,0.99222,0.88262,0.61944,0.35281,0.43318,1.20519,0.0013664,0.0013664,0.0013664
34,1558.67,0.59468,0.79634,0.52923,1.11685,0.98481,0.94118,0.99222,0.89267,0.98481,0.94118,0.99222,0.93425,0.51349,0.44499,0.45556,1.05382,0.0013466,0.0013466,0.0013466
35,1603.77,0.62572,0.76558,0.51119,1.16414,0.98798,0.94118,0.99222,0.88711,0.98798,0.94118,0.99222,0.879,0.55286,0.40774,0.44382,1.09686,0.0013268,0.0013268,0.0013268
36,1647.27,0.58217,0.72035,0.52796,1.08509,0.99606,1,0.995,0.91114,0.99606,1,0.995,0.92111,0.50369,0.36716,0.39922,1.11175,0.001307,0.001307,0.001307
37,1694.99,0.5918,0.80219,0.5312,1.10728,1,0.97464,0.995,0.86878,1,0.97464,0.995,0.8812,0.61227,0.48045,0.56002,1.13972,0.0012872,0.0012872,0.0012872
38,1741.47,0.57934,0.82227,0.51626,1.14519,0.88701,1,0.97967,0.88694,0.88701,1,0.97967,0.88637,0.50059,0.44478,0.49843,1.08351,0.0012674,0.0012674,0.0012674
39,1785.55,0.59799,0.81369,0.51672,1.11255,0.92993,1,0.98889,0.86417,0.92993,1,0.98889,0.8886,0.49187,0.41639,0.45991,1.00878,0.0012476,0.0012476,0.0012476
40,1830.16,0.55439,0.72273,0.50217,1.07763,0.99528,0.94118,0.99222,0.86377,0.99528,0.94118,0.99222,0.8685,0.55436,0.37613,0.41588,1.08151,0.0012278,0.0012278,0.0012278
41,1874.26,0.56031,0.72002,0.51333,1.07526,1,0.99384,0.995,0.87664,1,0.99384,0.995,0.88187,0.62857,0.43804,0.44369,1.17264,0.001208,0.001208,0.001208
42,1919.74,0.54399,0.67353,0.46171,1.07979,1,0.99714,0.995,0.82494,1,0.99714,0.995,0.8381,0.74245,0.45843,0.42705,1.40176,0.0011882,0.0011882,0.0011882
43,1965.4,0.55551,0.67514,0.47281,1.09223,1,0.99883,0.995,0.89384,1,0.99883,0.995,0.88556,0.52378,0.37014,0.42705,1.11383,0.0011684,0.0011684,0.0011684
44,2008.41,0.52457,0.66128,0.45785,1.04945,0.92233,1,0.98889,0.84862,0.92233,1,0.98889,0.90669,0.50287,0.39609,0.50689,1.02946,0.0011486,0.0011486,0.0011486
45,2054.01,0.53308,0.67441,0.46976,1.05695,0.99663,1,0.995,0.88996,0.99663,1,0.995,0.90232,0.53655,0.43618,0.43825,1.06368,0.0011288,0.0011288,0.0011288
46,2098.38,0.52035,0.63487,0.4679,1.03741,1,0.9825,0.995,0.86708,1,0.9825,0.995,0.87963,0.56741,0.41634,0.52332,1.15006,0.001109,0.001109,0.001109
47,2143.07,0.51706,0.60548,0.43551,1.04719,0.94363,1,0.995,0.86134,0.94363,1,0.995,0.86747,0.64188,0.34353,0.40429,1.22071,0.0010892,0.0010892,0.0010892
48,2189.34,0.50532,0.62214,0.4385,1.03305,0.99395,1,0.995,0.9075,0.99395,1,0.995,0.92347,0.4957,0.33786,0.39858,1.08287,0.0010694,0.0010694,0.0010694
49,2236.81,0.50442,0.60367,0.43233,1.04302,0.93765,1,0.98556,0.84328,0.93765,1,0.98556,0.86707,0.58973,0.53279,0.54701,1.19675,0.0010496,0.0010496,0.0010496
50,2282.09,0.49819,0.62421,0.42461,1.03908,0.99635,1,0.995,0.89466,0.99635,1,0.995,0.91431,0.53367,0.3092,0.36047,1.15546,0.0010298,0.0010298,0.0010298
51,2326.49,0.47642,0.62566,0.42909,1.0275,0.96082,1,0.995,0.89171,0.96082,1,0.995,0.91684,0.50489,0.31302,0.3451,1.10714,0.00101,0.00101,0.00101
52,2373.04,0.48269,0.62814,0.43286,1.03053,0.99569,1,0.995,0.91684,0.99569,1,0.995,0.94474,0.49135,0.32073,0.36962,1.0464,0.0009902,0.0009902,0.0009902
53,2420.31,0.4814,0.62212,0.42658,1.00544,0.98643,1,0.995,0.89606,0.98643,1,0.995,0.94438,0.44239,0.34944,0.41108,1.01212,0.0009704,0.0009704,0.0009704
54,2465.98,0.50108,0.61746,0.43048,1.02145,0.99334,1,0.995,0.89135,0.99334,1,0.995,0.9192,0.4721,0.34949,0.3767,1.03908,0.0009506,0.0009506,0.0009506
55,2510.55,0.4445,0.59105,0.38887,1.00355,0.99603,1,0.995,0.89563,0.99603,1,0.995,0.90887,0.55663,0.29837,0.36752,1.13198,0.0009308,0.0009308,0.0009308
56,2555.05,0.45297,0.57521,0.40316,0.98939,0.9957,1,0.995,0.84824,0.9957,1,0.995,0.84926,0.58712,0.36473,0.42551,1.2837,0.000911,0.000911,0.000911
57,2599.56,0.44731,0.53913,0.38123,0.99175,0.99621,1,0.995,0.90485,0.99621,1,0.995,0.9233,0.4779,0.31464,0.37013,1.0304,0.0008912,0.0008912,0.0008912
58,2646.02,0.45408,0.54426,0.39409,0.96743,0.88667,1,0.98342,0.87643,0.88667,1,0.98342,0.89807,0.46328,0.31414,0.44354,1.03311,0.0008714,0.0008714,0.0008714
59,2692.03,0.4327,0.52283,0.36768,0.9931,0.99625,1,0.995,0.88837,0.99625,1,0.995,0.9214,0.50326,0.35471,0.36836,1.04583,0.0008516,0.0008516,0.0008516
60,2739.29,0.46557,0.59286,0.399,0.98701,0.99183,1,0.995,0.90697,0.99183,1,0.995,0.90965,0.44826,0.31329,0.38409,0.99205,0.0008318,0.0008318,0.0008318
61,2784.55,0.43692,0.505,0.37017,0.9718,0.99609,1,0.995,0.91278,0.99609,1,0.995,0.93172,0.48187,0.34367,0.32248,1.07347,0.000812,0.000812,0.000812
62,2828.73,0.42117,0.50445,0.36129,0.98755,0.99622,1,0.995,0.89203,0.99622,1,0.995,0.89691,0.48038,0.31926,0.3867,1.10171,0.0007922,0.0007922,0.0007922
63,2874.41,0.42266,0.50495,0.36398,0.98439,0.94415,0.99469,0.98556,0.89021,0.94415,0.99469,0.98556,0.89679,0.47202,0.31361,0.37347,1.10821,0.0007724,0.0007724,0.0007724
64,2920.48,0.41843,0.48194,0.35999,0.98271,0.9944,1,0.995,0.89861,0.9944,1,0.995,0.91984,0.44014,0.31516,0.36125,1.02367,0.0007526,0.0007526,0.0007526
65,2964.38,0.4055,0.5152,0.34057,0.97547,0.99664,1,0.995,0.88592,0.99664,1,0.995,0.91779,0.43477,0.28465,0.37772,0.94337,0.0007328,0.0007328,0.0007328
66,3010.39,0.42545,0.50327,0.37329,0.97273,0.99655,1,0.995,0.90468,0.99655,1,0.995,0.91385,0.47069,0.27906,0.39782,0.99453,0.000713,0.000713,0.000713
67,3054.66,0.39313,0.46157,0.349,0.96652,0.99696,1,0.995,0.87505,0.99696,1,0.995,0.89933,0.49717,0.30998,0.37413,1.07159,0.0006932,0.0006932,0.0006932
68,3100.07,0.39089,0.47667,0.35237,0.94271,0.99644,1,0.995,0.90199,0.99644,1,0.995,0.91636,0.41246,0.29786,0.34668,1.01713,0.0006734,0.0006734,0.0006734
69,3146.32,0.39806,0.50191,0.39106,0.9421,0.9969,1,0.995,0.91506,0.9969,1,0.995,0.89946,0.40466,0.29868,0.32966,1.02043,0.0006536,0.0006536,0.0006536
